abandon,"v./n.放纵
v.放弃","1.freedom from constraint
2.withdraw"
curmudgeon,n. 脾气坏的、爱抱怨的人,irritable and complaining
cursory,adj. 匆忙的，不注意细节的,excessive or careless speed
curt,adj. 言辞简略的，直接（以致显得粗鲁）的,"direct, brief, and potentially rude"
curtail,vt. 缩短，削减,less in extent or duration
cynic,n. 反人类的喷子,selfishness
dabble,vi.涉猎，对…浅尝辄止,superficially
daft,adj. 不明智的,lack of good sense or judgement
dazzling,adj. 炫目的，耀眼的,reflecting much light
dally,vi. 虚度时光,doing nothing
damper,n. 抑制因素,restrains; depresses
dandy,n. 纨绔子弟，爱打扮的人,appearance
dank,adj. 阴湿的,wet
dapper,adj. 衣冠整洁的,strikingly neat and trim
dappled,adj. 有斑点的，花的,marked with small spots
daredevil,adj./n. 大胆鲁莽的（人）,foolishly
dart,"vi. 突然移动，猛冲，狂奔  
n. 公开侮辱","1. suddenly
2. intended to hurt another's fellings"
daunt,vt. 使胆怯，吓倒,to lessen the courage
dawdle,v. 拖拖拉拉,slowly
deadpan,n. 无趣的，无生气的，不活泼的,impassively
dearth,n. 供应不足,inadequate
debacle,n. 溃败,complete failure
debark,v.（使）下船（飞机，车等）；卸（客，货）,unload from a ship or an airplane
debase,v. 贬低，贬损,lower standing
debilitate,vt. 使衰弱,impair strength
debris,n. 废墟,discarded useless material
debunk,vt. 揭露…的真面目,true nature
debut,n. 初次登台，出道,first appearance
decadence,n. 衰落，颓废,deterioration or decline
detest,v. 厌恶,dislike
decipher,"vt. 破译    
vt. 对…有清晰的想法，理解，解读","1. interpret
2. clear idea"
decode,"vt. 解码   
 vt. 对…有清晰的想法，理解，解读","1. change into ordinary language
2. clear idea"
decorous,adj. 得体端正的,refined society and good taste
decrepit,adj. 虚弱的，衰老的，破旧的,weakened
default,n. 不履行义务，玩忽职守,nonperformance
defer,v. 推迟，延期    vi. 遵从,postpone
document,v.证实,show truth by evidence
deficiency,n. 缺乏，不足,inadequate
devious,adj. 狡猾的,lie and trick
deft,adj. 灵巧的，熟练的,skill
defuse,vt. 抚慰，减轻,make less tense
defy,vt. 蔑视,confront with resistance
dehydrate,"vt. 去除水分，使干燥    
v. 使失去活力","1. remove water
2. deprive of vitality"
deify,vt. 尊崇，尊敬,high status or value to
deject,vt. 使沮丧,lower the spirits; dishearten
deleterious,adj. 有害的,harmful
deliberate,adj. 深思熟虑的,careful
delicacy,n. （外貌、结构等） 精致,fineness
delirium,n. 精神错乱；极度兴奋，发狂,mental disturbance
delusion,n. 错觉，妄想,false 
deluge,"n. 大暴雨；
n. 大量","1. drenching rain
2. great flow"
delve,v. 探究，钻探,detailed search for information
demagogue,n. 蛊惑民心的政客,"leader, false claims"
demanding,adj. 难取悦的，难满足的    adj. 费时间花心思的,"1. satisfied
2. requiring careful attention"
demolition,n. 破坏，毁坏,destroying
demonstrate,vt. （通过证据）证明，表明,make clear by using examples
demoralize,vt. 使士气低落   vt. 贬低，使堕落,"1. dishearten
2. lower in character"
demotic,adj. 通俗的，大众化的,common
demur,n./vi. 表示异议，反对,opposition; object
denigrate,vt. 诋毁，污蔑,scornfully
disingenuous,adj.不真诚的，假惺惺的,not truly honest
denounce,vt. 公开指责,public or formal disapproval
dent,vt. （数量、程度上）削弱,make smaller
denude,vt. 脱去，使赤裸,bare
deplete,vt. 耗尽，使衰竭,make complete use of
deplore,vt. 谴责，强烈反对,hate or dislike 
deploy,v.（有目的地）展开；调度，部署,spread out
deportation,n. 放逐,removal from a country
depose,"vi. 宣誓作证   
vt. 废黜，罢免","1. testify
2. remove from a throne"
deposit,"n. 自然积累，沉积，矿藏    
vt. 存钱","1. accumulation
2. put in account"
depravity,n. 道德败坏,"immoral, harmful, offensive"
deprecate,"vt. 不喜欢   
vt. 贬低，轻视","1. unfavorable opinion
2. express scornfully"
depreciate,vt. 贬低…的价值,lower value
depressed,adj. 不开心的，情绪不高的，消沉的,unhappiness
deprivation,n. 匮乏,privation
deracinate,vt. 根除,pull out
derelict,adj. 玩忽职守的，不认真的,lacking duty; carelessly
deride,vt. 嘲弄，嘲笑,contemptuous mirth
derivative,adj. 非原创的,lacking originality
descend,"v. 下降    
v.世代相传","1. downward
2. pass by inheritance"
divination,n. 预言,foretelling future
desecrate,vt. 亵渎，玷污,treat shamefully
desiccate,vt. 使缺乏活力,deprive vitality
designate,"vt. 任命    
vt. 命名                                                               ","1. to pick for a specific position or duty
2. give a name to"
despicable,adj. 令人鄙视的,loathing and disgust
despise,vt. 极其不喜欢,dislike strongly
despotic,adj. 专制的，暴虐的,tyrannical
desultory,adj. 无计划的，无目的的,lacking plan
detach,vt. 使分离,separate
detain,vt. 拘留，扣留,hold; keep
deter,vt. 吓住，威慑,prevent; discourage
deterioration,n. 恶化；堕落,sinking
detour,n. 偏离正常标准,away from standard
detract,"vt. 贬低，降低价值    
vt. 使分心","1. diminish
2. draw attention"
detritus,n. 废品，碎屑，遗骸,"product of disintegration, destruction; debris"
devoted,adj. 投入的；忠诚的,loyalty; devotion
devout,adj. 忠诚的,allegiance
dexterous,"adj. 动作灵活的  
adj. 头脑灵活的","1. ready skilled
2. mentally adroit, skillful"
diabolic,adj. 恶魔一般的,devil
diaphanous,"adj. 模糊的；非实在的 
adj.(质地精致得）几乎透明的","1. vague insubstantial
2. transparent, translucent"
diatribe,n. 长篇抨击性演讲,long scolding
didactic,adj. 喜欢说教的，思修的,teach
diehard,adj. 顽固的，保守的 n. 顽固的人，保守的人,"determined, devoted/ opposes change and refuses new ideas"
dovish,adj. 鸽派的，爱好和平的,live in peace
diffuse,"adj. 啰嗦的 
v. 扩展，散开","1. verbose
2. extend,scatter"
digress,v. 脱离主题,turn aside main subject
dilapidate,v. （使）荒废,ruin
dilate,v. （使）膨胀，扩大,enlarge; expand; wide
dilatory,adj. 拖延的，磨蹭的,cause delay; procrastination
dilettante,n./adj. 业余爱好者（对艺术或知识领域涉猎浅薄者）/缺乏专业技术的,"superficial interest, lacking expert skill"
diligent,adj. 勤勉的，辛勤的,"steady, earnest, energetic"
dilute,"vt. 稀释   
adj. 经稀释的","1. less concentrated
2. low strength, concentration"
diminish,"v. （使）变小，（使）减少  
v. 轻视，贬低","1. smaller; less
2. lessen; belittle"
disquisition,n. 专题论文,systematic search
dingy,adj. 昏暗的；肮脏的,darkened; dirty
diocesan,adj. 主教管辖区的,diocese
diplomatic,adj. 使用策略的，机智的,tact
dire,"adj. 可怕的，恐怖的    
adj. 迫切的","1. fear
2. immediate; urgent"
demography,n. 人口统计学,changes in human populations
disabuse,vt. 打消错误念头，纠正,"free from error, fallacy, misconception"
disaffected,adj. 不满的，叛逆的,"discontented, rebellious"
disarm,vt. 使息怒，平息，抚慰,lessen
disarray,"n. 混乱，无秩序
vt. 使混乱","1. lack order
2. undo order, arangement"
disavow,vt. 拒绝承认，否认,disclaim; not true
discern,v. 识别，辨别差异,perceive; detect
discharge,"vt. 解雇   
vt. 释放","1. dismiss
2. free"
disciple,n. 信徒，追随者,follower
discombobulate,vt. 使不安，使混乱,"upset,confuse"
discomfit,"vt. 使尴尬   
vt. 阻碍","1. embarrassment
2. prevent"
discommode,vt. 打扰，使不便,trouble
discompose,"vt. 使不安   
vt. 使混乱","1. disturb composure; perturb
2. undo order, arrangement"
disconcert,vt. 使不安,disturb
discord,n. 意见不一致，不和谐,lack agreement harmony
discredit,"vt. 羞辱，使丧失名誉   
vt. 怀疑，不相信","1. damage reputation; disgrace
2. not true, real"
discrepancy,n. (在事实和宣称之间的）差异或矛盾,"divergence, disagreement"
discrete,adj. 离散的，不连续的,separate
discretion,"n. 谨慎  
n. 自制，节制","1. discreet; circumspection
2. checking"
discretionary,adj. 自主决定的,one's own discretion
discriminate,"vt. 区分   
vi.歧视","1. perceive distinguishing; recognize
2. dffenerce"
discursive,adj. （谈话内容）杂乱的,without order
disdain,vt. 轻视，鄙视,scorn
disengage,vt. 分开，使脱离,set free from entanglement
disgorge,v. 呕吐出,discharge; vomit
disgruntle,vt. 使发怒，使不满意,discontented
dignified,adj. 高贵庄严的,"serious, formal"
disinclination,n. 不喜欢，厌恶，不情愿,"lack willingness, desire"
disinfect,vt. 消毒，使无菌,free from infection
disjointed,adj. 不连贯的,not connected
disinter,vt. （从墓地里）掘出,take out
disinterested,adj. 公正的，无偏见的,free from selfish; unbiased
disjunctive,adj.分离的,breaks or disunity
dismantle,vt. 分解，分拆,pieces; destroy integrity
dismay,"vt. 使失去勇气   
vt. 使不安，使焦虑","1. lose courage
2. trouble, uneasy"
disparage,vt. 贬低，轻蔑地说,"lower, disrespectful"
disparate,adj. 迥然不同的,"distinct, different, dissimiliar"
dispassionate,adj. 客观公正的，不易被情绪或偏见影响的,unaffected
dispatch,"n. 迅速  
vt. 发送，派遣","1. promptness
2. one place to another"
dispose,"vt. 使倾向于   
vi. 处理掉（与of连用，dispose of)","1. tendency; incline
2. get rid of; throw out"
disregard,"vt. 漠视，不关注    
n. 缺乏兴趣，缺乏关心","1. no attention
2. lack of interest or concern"
dissect,vt. 仔细分析,"examine, analyze minute"
dissemble,v. 用假象隐藏真相，掩饰,FALSE
disseminate,vt. 散播，传播,spread; promulgate
dissension,n. 意见不合,difference; disagreement
dissent,"vi. 持异议，不同意  
n. 反对正统","1. differ
2. departure accepted"
dissipate,"vt. 驱散  
vt. 浪费","1. drive away; 
2. disperse"
dissolute,adj. 放荡的，无节制的,restraint; indulging
dissolve,"v. 溶解，融化  
v. 解散 ","1. solution; melt
2. break into parts; disintegrate"
dissonance,n. (音调）不和谐，刺身；不一致，分歧,"disagreeable, discord"
dissuade,vt. 劝阻，反对,deter persuasion or exhortation
distain,vt. 贬损，伤害（某人的）名誉,"lose honor, respect reputation"
distal,adj. 远离中心的，（神经）末梢的,situated away
distend,v.(使）膨胀,expand
distill,vt. 对…用蒸馏法提高纯度,increase; purify
distort,vt. 扭曲，歪曲,twist
distract,vt. 转移（注意力），使分心,draw direct different
distraught,adj. 精神狂乱的，极疯狂的,agitated
diurnal,adj. 白天发生或行动的,daytime
diverge,"vt. （使）分叉，散开  
vi. 分歧","1. differnent directions from central point
2. diffenert;differ"
diversity,n. 多样性,variety multiformity
divert,"vt. 使转向   
vt. 使消遣","1. deflect
2. agreeably"
divestiture,n. 剥夺,taking away
divulge,vt. 泄露（秘密),known confidence or secret
dodder,vi. 蹒跚，颤巍巍地行进,progress unsteadily
dodge,v. 躲避,avoid
doff,vt. 脱下,take off; remove
dogged,adj. 固执的，任性的,sticking to
dogmatic,adj. 武断的，自以为是的,strongly held opinions
doldrums,n. 低迷，中断,inactivity
dolorous,adj. 忧伤的,misery grief
dolt,n. 笨蛋,stupid
domicile,vt. 为…提供住处,provide domicile
dominant,"adj. 处于支配地位的  
adj. （基因）显性的","1. controlling others
2. genetic dominance"
don,vt. 穿上,put on
donor,n. 捐赠人，给体,donates
doodle,"vi (无目的地）乱涂乱画    
vi. 漫无目的地打发时光","1. aimlessly
2. aimless activity"
dormant,adj. 静止的，不活跃的,inactivity;inoperative;in abeyance
dour,adj. 严厉的,harsh
douse,vt. 熄灭,put out
downplay,vt. 轻描淡写，不予重视,minimize significance
doom,v. 注定（倒霉）,determine the fate
doyen,n. 有经验的人，资深人士，老司机,knowledgeable; experience
doze,vi./n. 小憩,lightly
draconian,adj. 极其严酷的；十分严厉的,harsh
drawl,v. 慢吞吞地说,speak slowly
dreary,adj. 单调乏味的,nothing cheer
drench,vt. 使湿透，浸透,wet thoroughtly
drivel, n. 胡言乱语,meaningless
diminutive,adj. 极小的,less than average
drollness,n. 搞笑，逗逼,amusing
drone,v. 低沉单调地说；嗡嗡地叫,talk monotonous
drudgery,n. 苦工；单调、卑贱或无趣的工作,tedious work
dubious,adj. 充满不定性的，值得怀疑的,uncertainty;questionable
ductile,adj. 易受影响的,easily led
dulcet,adj. 悦耳的，令人愉悦的,melodious
dullard,n. 笨蛋,stupid
dupe,"n. 易受骗的人  
 vt. 欺骗","1. easily deceived
2. deceive"
duplicitous,adj. 两面派的，奸诈的,cheating
dwindle,vi. 逐渐减少,gradually less
dyspeptic,adj. 脾气坏的,bad-tempered
earnest,adj. 严肃认真的,"serious, grave"
embryonic,adj. 初期的，萌芽阶段的,early stage
earsplitting,adj. 震耳欲聋的,distressingly loud
eavesdrop,vi. 偷听,listen secretly
ebullient,adj. 热情奔放的,zestfully
eccentric,adj. 行为出格的，不循规蹈矩的,deviating conventional
eclat,n. 辉煌成就,success
eclipse,vt. 使声望下降，使黯然失色,diminish importance
ecstasy,n. 狂喜,intense joy
ecumenical,adj. 世界范围的，普遍性的,worldwide
edible,adj. 可食用的,eaten
edifice,"n. 大厦，大建筑物 
 n. 基础，基本框架","1. massive structure
2.basic form"
efface,vt. 擦掉，抹去；使不明显,make indistinct
effervesce,vi. 兴奋，热情洋溢,high spirits
effete,adj. 衰弱的，衰落的,depleted
effluvium,n. 难闻的气味,offensive smell
effrontery,n. 厚颜无耻，放肆大胆,disregard courtesy
effulgent,adj. 光辉灿烂的,resplendent
effusive,adj. 感情泛滥的/溢于言表的；感情表达不节制的/过度的；过分多情的,unrestrained in emotional expression
egalitarian,adj. 平等主义的,promoting equal rights
egoistic,adj. 利己的，以自我为中心的,centered in oneself
elaborate,"adj. 详细的，复杂的   
vt. 详细阐述","1. complexity
2. in detail"
elastic,"adj. 有弹性的   
adj. 能（迅速从伤痛中）恢复的","1. resuming shape
2. recovering from depression"
elate,vt. 使开心，使自豪,fill with joy
eleemosynary,adj. 慈善的,charity
elegy,n. 哀歌（诗），挽歌（诗）,expressing sorrow
elephantine,"adj.巨大的  
adj. 笨拙的","1. enormous size
2. clumsy
"
elevate,"vt. (在道德、智力、文化水平上）提升  
vt. 使兴奋","1. improve
2. raise spirits"
elicit,vt. 激起，唤起,bring out 
elliptical,"adj. 含糊不清的  
adj. 椭圆的","1. obscurity
2. ellipse"
elucidate,v. 阐明,make lucid
emaciate,vt. 削弱,feeble
emancipate,vt. 解放，解除束缚,free
embargo,n. 贸易禁止令,prohibition on commerce
embark,vi. 开始从事,start
embarrass,vt. 使尴尬   ,experience distress
embed,vt. 嵌入,enclose
embezzle,vt. 盗用,appropriate
embolden,vt. 鼓励，使大胆,instill courage
emboss,vt. 装饰,ornament with raised work
embrace,vt. 乐于接受,"willingly, eagerly"
embroider,v. （时常伴有夸张和想象内容地）详细说明,give elaborate account
emigrate,vi 移民，移居海外,leave
eminent,adj. 杰出的,above others
emollient,adj. 起缓和作用的,less intense
emulate,vt. 效仿,excel through imitation
enact,vt. 制定或颁布（法律）,establish
enamel,vt. 装饰,adorn
encomium,n. 赞颂之词,praise
encompass,vt. 组成，包含,include
encumber,vt. 阻碍；妨碍,impede
endemic,adj. 地方性的,to a particular region
endorse,vt. 公开支持,express approval
enervate,vt. 使衰弱,weaken
enfranchise,"vt. 给予…权利（例如选举权）  
vt. 解放","1. endow rights
2. set free"
engender,vt. 引起，使发展,cause
engross,vt. 使全神贯注,occupy exclusively
enigma,n. 难以理解或解释的事物，谜,hard to understand
enlighten,vt. 使知道，启发,"inform, instruct"
enmity,n. 敌意,mutual hatred
ennoble,vt. 使尊贵,noble
ennui,n. 倦怠；缺乏兴趣,"listlessness, lack of interest"
expostulate,vi.争论，辩驳,reason for dissuasion
ensconce,vt. 隐藏,hiding
ensue,vi. 紧随其后,afterward
entangle,vt.使变复杂或困难,make complete or difficult
episodic,adj.片段的，断断续续的,lacking in steadiness
entice,vt.诱使,tempt
entrance,vt.使入迷,fill with wonder
entrap,vt.诱骗,lure
entreat,vt.恳求,ask urgently
enunciate,"v.清晰地说
vt.公开宣布，宣称
","1.articulate
2.openly or publicly "
ephemeral,adj.短暂的,very short time
epic,adj.宏大的，超凡脱俗的,surpassing the usual
epicure,n.美食家,one with discriminating tastes
epigram,n.机智的短诗，警句,"a short,witty poem"
epilogue,"n.文学作品的结局
",a concluding section
epithet,n.外号，绰号,descriptive  name
epitomize,"vt.代表，体现，是…的典型范例
",represent
equable,adj.（脾气、性情）温和的,serene
equity,n.不偏不倚，公平,lack of favoritism
equivalent,adj./n.等价的，相等的,equal
equivocate,vi.（带有欺骗目的地）模棱两可地说，说谎话,equivocal
empirical,adj.基于观察、实验的,based on observation
errant,adj.误入歧途的，犯错误的,straying from standards
erratic,adj.善变的,not constant
erudite,adj.博学的,learned
escalate,v.（使）（战争等）升级，扩大,increase
eschew,vt.刻意避开；戒绝,avoid
esoteric,"adj.深奥难懂的
",difficult to understand
espouse,"vt.支持；拥护
",support
esteem,n./v.尊重,respect
estimable,adj.值得尊敬的,admirabie
estrange,vt.使疏远，离间，使感情失和,arouse enmity
etch,v.留下深刻印象，铭记,produce a vivid impression
eternal,adj.永恒的,everlasting
ethereal,"adj.轻巧精致的
adj.非物质的，精神（上）的","1.delicate 
2.spiritual"
ethics,n.道德规范,rules governing conduct
eulogize,vt.称赞；颂扬,speak in high praise of
euphemism,n.婉言，委婉的说法,inoffensive expression
euphonious,adj.悦耳的,pleasing to the ear
euphoria,n.感觉极其愉快,overwhelming usually pleasurable
evacuate,vt.撤离,empty or remove
evanescent,adj.逐渐消失的，短暂的,vanish
entail,v.牵连；导致,cause
everlasting,adj.永恒的，持久的,lasting forever
evict,vt.赶出，逐出,expel
evince,vt.表明,make known
evoke,vt.唤起，引发,call up
exacerbate,"vt.使加剧,使恶化",severe
exacting,"adj.严格的，苛求的
adj.费时间花心思的","1.rigorous
2.repuiring effort"
exalt,vt.赞扬,praise
exasperate,vt.激怒,excite
excavate,v.挖掘，挖空,dig out
exceptional,adj.例外的，特别的，非凡的,extraordinary
excoriate,vt.严厉批评,criticize harshly
excrete,vt.排泄,discharge
excruciate,vt.折磨，使痛苦,inflict pain
exculpate,vt.声明无罪；开脱，使无罪,clear from fault
excursive,adj.离题的；散漫的,passing from one topic to another
execrate,v.痛恨,dislike strongly
exemplary,"adj.榜样的，值得效仿的
",being a pattern to be imitated
exempt,vt.使免除,release from liability
exhaust,vt.耗尽,consume entirely
exhilarate,vt.使高兴；使兴奋,make cheerful
exhort,vt.敦促，力劝,urge
exigent,adj.紧急的,immediate
exodus,n.大批离去,departure
exonerate,vt.免除责备,free from blame
exorbitant,adj.过度的,exceeding the customary or appropriate limits
exotic,adj.外来的，不同寻常的,unusual
expansive,adj.话多的，健谈的,readiness to talk
expediency,n.应急手段，权宜之计,doing convenient
expedite,vt.加快进程,speed up the progress 
expiate,vt.赎罪，纠正,extinguish  the guilt
expire,"v.断气，死亡
v.到期","1.die 
2.come to an end"
explicit,"adj.表达清晰的
adj.成熟的，完全形成的","1.fully revealed or expressed 
2.fully developed "
exploit,"n.英雄行为
vt.最大程度地利用","1.notable act 
2.employ        "
exponent,"n.倡导者，支持者
",one that advocates
expurgate,vt.净化（书等），删去（不当处）,remove
exquisite,adj.精致精巧的,appeal to a refined taste
extant,adj.现存的,not destroyed
extemporize,v.即兴表现,perform without prior preparation
extenuate,vt.减轻罪过,lessen the seriousness
extinct,adj.灭绝的,no longer existing
extinguish,vt.熄灭,put out
extol,vt.赞美；吹捧,praise
extort,vt.勒索,force
extract,vt.用力拔出,take out
encyclopedic,adj.全面的，百科全书式的,covering everything
extraneous,adj.无关的，不重要的,no relevance
extravagant,"adj.挥霍的
adj.过度的，不必要的","1.spending money freely
2.beyond normal limit"
extricate,vt.使解脱，救出,free from entanglement
exuberant,adj.非常高兴的，热情洋溢的,joyously unrestrained
exude,v.分泌，流出,flow forth
exult,vi.感到欢喜,rejoice
fable,"n.神话，传说
n.谎言，虚构","1.story of upernatural happenings
2.statement made in order to deceive"
fabricate,vt.捏造,make up
facetious,adj.喜欢开玩笑的，轻浮的,joking
facile,adj.表面的，浅尝辄止的,lack of depth
facilitate,vt.使变容易，促进,make easy
faction,n.派系,a party that is often contentious
fallacious,adj.谬误的，不合逻辑的,containing fallacy
fallow,adj.休耕的,untilled
fail-safe,"n.保险措施
adj.万无一失的","1.preclude loss
2.no chance of failure"
falsehood,n.谎言,untrue; made in order to deceive
falter,"vi.蹒跚
vi.犹豫，踌躇","1. walk unsteadily
2. unsteady in purpose or action"
fanatic,"n.狂热者
adj.狂热的；盲信的","1. unreasoning enthusiasm
2. intense uncritical devotion"
fantasy,"n.幻想
vt.产生幻想","1.imaginative fiction
2. form a mental picture"
farce,n.闹剧,ridiculous
fascinate,vt.强烈吸引，使入迷,hold an intense interest
fast,"n.绝食；斋戒
adj.忠诚的","1. abstaining from food
2. firm in one's allegiance"
fastidious,adj.挑剔的，极仔细的，追求完美的,meticulous attention to detail
fateful,"adj.意义重大的
",momentous
fathom,vt.彻底理解，弄懂,come to understand
fatigue,n.疲惫；,weariness or exhaustion
fatuous,adj.愚笨的，昏庸的,foolish
faultfinder,n.吹毛求疵的人,petty criticism
favorable,adj.有利的,promote
fawn,vi.阿谀奉承,seek favor by flattery
faze,vt.打扰，使尴尬,disturb the composure
feckless,"adj.无成果的，没有价值的
adj.粗心不负责任的","1. having no worth
2. careless"
fecund,adj.多产的，肥沃的,fruitful
feeble,adj.衰弱的,lacking in strength
feign,vt.制造假象，装出…的样子,give a false appearance
foreshadow,vt.预示,prefigure
feral,adj.野生的；,not domesticated
fertilize,vt.使肥沃，使多产,make fertile
fervid,"adj.酷热的
adj.热情的","1. high temperature
2. great passion"
forte,n.优势，长处,special talent
fester,v.感染，溃烂，腐烂,corrupt
fetid,adj.恶臭的,offensive smell
fetter,vt.束缚,restrain from motion
fiasco,n.大失败,complete failure
fickle,adj.易变的；,likely to change
fictitious,adj.虚构的,not real
fidelity,n.忠诚,being faithful
figurative,adj.比喻的,denoting another
fractious,adj.难以管束的,unruly
filibuster,n./v.拖延议事,for the purpose of delaying legislative action
filter,v.过滤,pass through a filter
finale,n.终场，结局,closing part
finesse,"n.娴熟技巧；
v.（巧妙地）躲避","1. skill
2. keep away from"
finicky,adj.过分讲究的，挑剔的,extremely meticulous
flaccid,adj.不结实的，松弛的,lacking firmness
flag,vi.变得衰弱,become feeble
flamboyant,adj.艳丽夺目的，炫耀的，充满装饰的,strikingly elaborate
flatter,"vt.拍马屁，奉承，讨好
",praise excessively
flaw,"n.瑕疵，缺点
v.降低，破坏，使不完美","1. imperfection
2. reduce perfection"
fledgling,n.新手,starting out in a field
fleet,adj.迅速的；,with great speed
flexible,"adj.灵活的，可变的
adj.易受影响的","1. readily changed
2. susceptible to influence"
flinch,vi.畏缩；退缩,draw back
flippancy,n.轻率，无礼,unbecoming levity
flirt,vi.调情,behave amorously
flit,vi.快速或突然地经过,pass quickly
flock,vi.聚集，集体行动,travel in a flock
florid,"adj.辞藻华丽的，花哨的
",full of fancy expressions
flounder,vi.笨拙地行动，挣扎,act clumsily
flourish,"vi.茂盛；繁荣
",achieve success
flout,n./v.嘲弄性不理会，蔑视,treat with disregard
flabby,adj.疲软的，无力的,lacking strength
fluent,"adj.表达流利的
",able to express well
fluky,adj.侥幸的,happening by good luck
flush,"adj.大量的
vi.冲洗
","1. abundance
2. pour liquid"
fluster,vt.使慌乱,put into agitated confusion
foible,n.小缺点,minor flaw
foil,vt.挫败,prevent from being successful
foment,vt.助长，煽动,promote the growth
foolproof,adj.十分简单以至于不会失败的,"leave no opportunity for error, misuse, or failure"
footloose,adj.无拘无束的，自由的,having no attachments
forbearance,"n.克制；忍耐
",tolerance and restraint
forebear,n.祖先,an ancestor
forestall,vt.预先阻止,prevent beforehand
foreword,n.前言,preface
forge,"v.伪造
v.锻造，铸就","1. imitate falsely
2. form"
formidable,adj.艰难的,requiring effort
forthright,"adj.直率的，说话率真的
adj.直接的，不绕弯子的","1. free in expressing opinions
2. going straight to the point"
fortify,"vt.加固，鼓励
",give physical strength
foster,"vt.促进，鼓励，培养
",help the growth
founder,"n.建立者
vi.完败
","1. one establishes
2. fail utterly"
fracas,n.争吵，吵闹,physical dispute; noisy fight
fracture,"n.破裂
vt.打碎，破坏","1. breaking
2. separate into pieces"
fragile,adj.易碎的,broken
frail,"adj.虚弱的
adj.（意志）薄弱的
","1. weak
2. weak"
fraudulent,adj.欺诈的,fraud
fraught,adj.充满的,full
frenzy,n.疯狂，狂怒,mental agitation
fretful,adj.易怒的，烦躁的,vexed
far-fetched,adj.牵强的，不可信的,not likely to be true
friable,adj.易碎的,easily crumbled
friction,"n.摩擦
n.冲突，不和","1. rubbing
2. clashing"
frigid,"adj.严寒的
adj.冷漠的","1. cold
2. lacking warmth"
fringe,n.边缘,border
frivolous,"adj.轻浮的
adj.不重要的","1. unbecoming levity
2. little importance"
frothy,adj.（内容等）欢乐轻佻、不严肃的,gaily frivolous
frowsy,adj.邋遢的,slovenly
frugal,adj.节约的,economy
fungible,adj.可互换的,substituted in place of one another
full-bodied,adj.重要的,importance
fulminate,v.大声斥责,thunderous denunciation
fumble,v.笨拙地做,awkward attempts
furor,n.喧闹，狂怒；激动，狂热,intense excitement
furtive,adj.鬼鬼祟祟的；秘密的,stealth
fury,n.暴怒,rage
fussy,"adj.谨慎的
adj.挑剔的","1. involving great care
2. hard to please"
fusty,"adj.过时的
adj.腐臭的","1. old-fashioned
2. stale odors"
futile,"adj.无效的，无用的
",ineffective
gadfly,n.刺激物,provocative stimulus
gaffe,"n.（社交上）失礼，失态
",social blunder
gainsay,vt.否认,declare false
gall,"vt.（使）焦躁，激怒
",irritate
gallant,adj.英勇的；,brave; chivalrous
galvanize,vt.（好似用电击）刺激,stimulate; excite
gamble,"v.赌博，孤注一掷
",bet
gambol,vi.欢跳，雀跃,playfully
gag,n.笑话；玩笑之举,a joke
garble,"vt.曲解，篡改，混淆（以至使无法理解）
",distort; misleading
gargantuan,adj.巨大的,tremendous
garish,adj.过于鲜艳的，过于张扬的,strident color
generic,adj.无差别的，普遍的,no particularly distinctive quality
garrulous,adj.啰嗦的，话多得令人厌烦的,tiresomely talkative
guardian,n.保护者，捍卫者,defend
gleam,v.闪光,light
gauche,adj.笨拙的，缺乏社交经验的,lacking grace
gaudy,adj.俗丽的,excessively showy
gauge,"n.测量标准
vt.判定","1. measurement; standard
2. determine"
gear,v.调整（以配合）,adjust
genial,"adj.和蔼亲切的
",easygoing
genteel,adj.有教养的，不粗俗的,free from vulgarity
germane,adj.有关的，适当的,relevant
gibe,v.嘲弄,taunting words
giddy,"adj.轻率不严肃的
",lacking in seriousness
gild,vt.（带欺骗性地）修改，润色,deceptively attractive
gist,n.要点,main point
gigantic,adj.巨大的,large
glaze,"vt.给…上釉，妆点
",coat; glaze
glib,"adj.流利圆滑的（常含有不真诚或欺诈的成分），油腔滑调的
adj.缺乏深度的，肤浅的","1. fluency; insincere; deceitful
2. lacking depth"
glisten,vi.闪光,shine; sparkling
glitch,n.小故障,minor malfunction
gloat,vi.幸灾乐祸，自鸣得意,self-satisfaction
gloomy,adj.忧郁的,low; spirits
gloss,"n.简短解释
v.敷衍潦草做事（甚至忽略）
","1. brief explanation; obscure
2. too lightly"
glossy,adj.平滑的，有光泽的,smooth surface
glut,vt.使过量，使充满,beyond capacity
glutinous,adj.胶状的，粘的,glue
glutton,n.贪吃者,immoderate food
goad,vt.刺激，驱使，激发,incite; rouse
gobble,vt.狼吞虎咽,eat greedily
goggle,vi.凝视,look
goldbrick,v.逃避工作和责任,shirk responsibilities
gorge,"n.峡谷
v.狼吞虎咽","1. canyon
2. eat greedily"
gossamer,"n.虚无缥缈的东西
adj.轻薄的；薄弱的","1. insubstantial
2. light"
grimy,adj.肮脏的,not clean
gourmet,n.美食家,connoisseur; food
grandeur,n.宏伟，壮丽,grand
grandiloquent,adj.（语言等）浮夸的,extravagantly; bombastic
grandiose,adj.自命不凡的，浮夸的,grandeur
grandstand,vi.为了给人留下印象而表演，哗众取宠,impress
grate,"v.刮擦（以发出刺耳的声音）
v.骚扰，惹恼","1. rasping
2. irritate"
gratify,vt.使满足,desired; please
